EXPRESS_|_CH1129850116_|_13/12/21_|_13/09/23_|_LQ_|_INTESA_|_ISP.MI_|_2.394_|_1.4364_|_2.4000000953674316_|_-0.006_|_1163.56_|_1173.56
_|__|__|__|__|_TESLA_|_TSLA_|_162.94_|_81.47_|_261.7699890136719_|_-1.213_|__|_
"16_|_80    M"_|_NLBNPIT1OXV0_|_19/05/23_|_20/04/26_|_BNP_|_AIRBnB_|_ABNB_|_120.1_|_36.03_|_128.16000366210938_|_-0.095_|_"105_|_35"_|_"106_|_35"
_|__|__|__|__|_CARNIVAL_|_CCL_|_9.8_|_2.94_|_18.829999923706055_|_-1.316_|__|_
_|__|__|__|__|_EXPEDIA_|_EXPE_|_95.33_|_28.599_|_109.38999938964844_|_-0.21_|__|_
"13_|_56    M"_|_XS2502548733_|_22/05/23_|_22/04/25_|_BNP_|_ISP_|_ISP.MI_|_2.4845_|_1.4907_|_2.4000000953674316_|_0.085_|_"983_|_29"_|_"993_|_29"
_|__|__|__|__|_UNICREDIT_|_UCG.MI_|_18.528_|_11.1168_|_21.264999389648438_|_-0.369_|__|_
"12_|_96    M"_|_XS2506544050_|_05/06/23_|_03/05/27_|_BNP_|_BPM_|_BAMI.MI_|_3.607_|_2.1642_|_4.25_|_-0.445_|_"103_|_34"_|_"104_|_34"
_|__|__|__|__|_LEONARDO_|_LDO.MI_|_10.66_|_6.396_|_10.395000457763672_|_0.062_|__|_
_|__|__|__|__|_TENARIS_|_TEN.MI_|_12.35_|_7.41_|_13.71500015258789_|_-0.276_|__|_
"15_|_00    M"_|_DE000VU6RER5_|_29/05/23_|_28/10/24_|_VON_|_PIRELLI_|_PIRC.MI_|_4.664_|_2.7984_|_4.52400016784668_|_0.075_|_99_|_n.d.
_|__|__|__|__|_STELLANTIS_|_STLAM.MI_|_14.665_|_8.799_|_16.09000015258789_|_-0.242_|__|_
_|__|__|__|__|_STM_|_STMMI.MI_|_38.58_|_23.148_|_45.560001373291016_|_-0.452_|__|_
"12_|_60    M"_|_NLBNPIT1PKX0_|_15/06/23_|_15/05/24_|_BNP_|_AMERIC AIR_|_AAL_|_14.28_|_8.568_|_17.940000534057617_|_-0.64_|_"98_|_35"_|_"99_|_35"
"63_|_36 M"_|_IT0006757386_|_17/07/23_|_16/06/26_|_MAF_|_RENAULT_|_RNO.PA_|_36.755_|_18.3775_|_38.58000183105469_|_-0.099_|_n.d._|_n.d.
_|__|__|__|__|_STELLANTIS_|_STLAM.MI_|_15.858_|_7.929_|_16.09000015258789_|_-0.029_|__|_
_|__|__|__|__|_TESLA_|_TSLA_|_260.54_|_130.27_|_261.7699890136719_|_-0.009_|__|_
